epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.4734,1.50179,3.16575,1.88244,0.00546,0.66667,0.34012,0.14805,1.07764,3.53639,1.69897,7.145e-05,7.145e-05,7.145e-05
2,103.911,1.29253,2.94228,1.6996,0.00542,0.66667,0.50004,0.36854,0.73943,3.44328,1.33849,0.000154078,0.000154078,0.000154078
3,143.296,1.0564,2.51024,1.51528,0.00778,0.66667,0.50983,0.40285,0.66506,3.18879,1.21385,0.00023331,0.00023331,0.00023331
4,186.561,1.00846,2.04606,1.45758,0.01511,1,0.59119,0.41659,0.7626,2.96724,1.23054,0.000309147,0.000309147,0.000309147
5,238.738,1.04493,1.83832,1.44424,0.9258,0.5,0.68406,0.55986,0.70253,2.68721,1.06967,0.000381589,0.000381589,0.000381589
6,282.683,1.00739,1.60074,1.4058,0.95902,0.5,0.87063,0.74095,0.73409,2.66618,1.09385,0.000450635,0.000450635,0.000450635
7,327.273,0.93531,1.42662,1.3552,0.97453,0.5,0.66333,0.53784,0.6944,2.43537,1.17471,0.000516286,0.000516286,0.000516286
8,370.627,1.06004,1.67341,1.50641,0.98656,0.5,0.62187,0.4721,0.71108,2.23949,1.27602,0.000578542,0.000578542,0.000578542
9,413.816,0.94748,1.28907,1.35548,0.99769,0.5,0.61598,0.43953,0.92694,2.2563,1.38239,0.000637403,0.000637403,0.000637403
10,457.517,0.92152,1.28737,1.31512,0.98753,0.5,0.929,0.71373,0.84923,2.01977,1.392,0.000692868,0.000692868,0.000692868
11,501.232,0.85717,1.26885,1.29749,0.97902,0.5,0.95375,0.71292,0.83039,2.14929,1.30913,0.000744938,0.000744938,0.000744938
12,547.563,0.85991,1.10774,1.31473,0.98828,0.5,0.995,0.73584,0.69286,2.41854,1.18987,0.000793612,0.000793612,0.000793612
13,591.282,0.85205,1.15311,1.28884,0.98682,0.5,0.995,0.73928,0.76032,2.10174,1.28555,0.000838892,0.000838892,0.000838892
14,634.343,0.8932,1.18284,1.33888,0.5999,0.83333,0.70823,0.56593,0.98569,1.96663,1.43853,0.000880776,0.000880776,0.000880776
15,679.207,0.7965,1.02277,1.187,0.5999,0.83333,0.70823,0.56593,0.98569,1.96663,1.43853,0.000919264,0.000919264,0.000919264
16,720.719,0.92569,1.17282,1.3299,0.67541,0.96587,0.995,0.76774,0.99305,1.67161,1.55128,0.000954358,0.000954358,0.000954358
17,759.614,0.82155,1.09666,1.23771,0.8362,0.97318,0.995,0.73193,0.98966,1.59948,1.66714,0.000976293,0.000976293,0.000976293
18,800.978,0.8075,1.06596,1.25765,0.7775,1,0.995,0.73455,0.92823,1.39395,1.64306,0.000947999,0.000947999,0.000947999
19,843.103,0.85295,1.08894,1.28297,0.7775,1,0.995,0.73455,0.92823,1.39395,1.64306,0.000919704,0.000919704,0.000919704
20,882.699,0.78967,1.09424,1.20872,0.88678,1,0.995,0.74927,0.88204,1.19468,1.54026,0.00089141,0.00089141,0.00089141
21,921.638,0.78114,1.07151,1.23766,0.93068,1,0.995,0.74809,0.98224,1.16483,1.60771,0.000863116,0.000863116,0.000863116
22,958.146,0.79785,1.00387,1.23256,0.96545,1,0.995,0.77027,0.96649,1.10079,1.68539,0.000834822,0.000834822,0.000834822
23,998.113,0.85436,1.12007,1.32222,0.96545,1,0.995,0.77027,0.96649,1.10079,1.68539,0.000806528,0.000806528,0.000806528
24,1040.16,0.92457,1.18441,1.35715,0.94069,1,0.995,0.79226,0.89239,1.0259,1.65449,0.000778233,0.000778233,0.000778233
25,1082.22,0.77863,0.93979,1.14238,0.94595,1,0.995,0.74552,0.89112,0.91514,1.67695,0.000749939,0.000749939,0.000749939
26,1121.78,0.72139,0.90813,1.16219,0.96977,1,0.995,0.7464,0.85096,0.93957,1.57208,0.000721645,0.000721645,0.000721645
27,1169.69,0.81572,0.96379,1.21767,0.96977,1,0.995,0.7464,0.85096,0.93957,1.57208,0.000693351,0.000693351,0.000693351
28,1223.12,0.83233,1.07312,1.35788,0.97152,1,0.995,0.75892,0.82777,0.96659,1.47499,0.000665057,0.000665057,0.000665057
29,1268.98,0.75156,1.07229,1.25406,0.98541,1,0.995,0.83694,0.72177,0.89771,1.33587,0.000636762,0.000636762,0.000636762
30,1308.69,0.67286,0.92958,1.16613,0.98605,1,0.995,0.82316,0.72146,0.88112,1.29792,0.000608468,0.000608468,0.000608468
31,1345.65,0.65236,1.01716,1.16819,0.98605,1,0.995,0.82316,0.72146,0.88112,1.29792,0.000580174,0.000580174,0.000580174
32,1388.27,0.74376,1.00224,1.2803,0.98063,1,0.995,0.7956,0.76706,0.88947,1.33049,0.00055188,0.00055188,0.00055188
33,1429.17,0.6746,0.95999,1.16542,0.98061,1,0.995,0.79427,0.74496,0.8648,1.32998,0.000523586,0.000523586,0.000523586
34,1467.27,0.6174,0.84572,1.0867,0.9792,1,0.995,0.78669,0.75128,0.80876,1.35658,0.000495291,0.000495291,0.000495291
35,1506.84,0.69294,0.89637,1.18897,0.9792,1,0.995,0.78669,0.75128,0.80876,1.35658,0.000466997,0.000466997,0.000466997
36,1544.99,0.63435,0.88576,1.17431,0.97906,1,0.995,0.78616,0.76297,0.82809,1.37806,0.000438703,0.000438703,0.000438703
37,1584.08,0.69714,0.85508,1.15558,0.97812,1,0.995,0.78619,0.74752,0.86425,1.37748,0.000410409,0.000410409,0.000410409
38,1620.96,0.61932,0.77895,1.08662,0.97838,1,0.995,0.77967,0.7403,0.88605,1.37804,0.000382115,0.000382115,0.000382115
39,1659.05,0.66819,0.86268,1.17976,0.97838,1,0.995,0.77967,0.7403,0.88605,1.37804,0.00035382,0.00035382,0.00035382
40,1697.53,0.74924,1.08219,1.28513,0.97813,1,0.995,0.80723,0.69269,0.89724,1.34256,0.000325526,0.000325526,0.000325526
41,1737.23,0.76079,1.51073,1.33863,0.97598,1,0.995,0.81968,0.63298,0.89048,1.30392,0.000297232,0.000297232,0.000297232
42,1773.93,0.59706,1.17167,1.15432,0.97637,1,0.995,0.81966,0.60875,0.83364,1.29449,0.000268938,0.000268938,0.000268938
43,1811.74,0.67567,1.19433,1.25128,0.97637,1,0.995,0.81966,0.60875,0.83364,1.29449,0.000240644,0.000240644,0.000240644
44,1849.1,0.72741,1.2991,1.24812,0.97892,1,0.995,0.81964,0.6322,0.8016,1.30641,0.000212349,0.000212349,0.000212349
45,1884.77,0.64548,1.08365,1.20447,0.98181,1,0.995,0.84178,0.66568,0.77768,1.33771,0.000184055,0.000184055,0.000184055
46,1922.53,0.63816,1.13141,1.19539,0.98224,1,0.995,0.8294,0.68258,0.7862,1.34395,0.000155761,0.000155761,0.000155761
47,1960.2,0.65813,1.11277,1.22563,0.98224,1,0.995,0.8294,0.68258,0.7862,1.34395,0.000127467,0.000127467,0.000127467
48,1999.21,0.64361,1.1515,1.17585,0.98274,1,0.995,0.85137,0.67784,0.7978,1.33352,9.91726e-05,9.91726e-05,9.91726e-05
49,2039.75,0.56763,1.05345,1.15055,0.9827,1,0.995,0.85137,0.68302,0.82581,1.33535,7.08784e-05,7.08784e-05,7.08784e-05
50,2080.21,0.9214,1.3433,1.58385,0.98332,1,0.995,0.85137,0.68352,0.82755,1.34557,4.25842e-05,4.25842e-05,4.25842e-05
