epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.34405,1.32687,3.24672,1.35153,0.01849,0.43289,0.02904,0.0109,1.10573,3.49936,1.41241,0.1,0,0
2,1.89417,1.39036,3.34841,1.43869,0.01907,0.43736,0.02981,0.01143,1.10632,3.49873,1.40884,0.09901,9.99973e-06,9.99973e-06
3,2.44143,1.37713,3.31921,1.35285,0.01937,0.4396,0.02895,0.0115,1.10586,3.49546,1.40249,0.09802,1.99978e-05,1.99978e-05
4,2.94108,1.39861,3.29074,1.45735,0.01989,0.44295,0.02897,0.01167,1.1039,3.49583,1.39315,0.09703,2.99927e-05,2.99927e-05
5,3.4063,1.35433,3.42301,1.48153,0.0199,0.44295,0.02904,0.01146,1.105,3.49114,1.38998,0.09604,3.99826e-05,3.99826e-05
6,3.96877,1.502,3.34063,1.50003,0.54758,0.25056,0.27888,0.17779,0.8675,1.71783,1.18547,0.09505,4.99661e-05,4.99661e-05
7,4.73435,1.33592,2.16178,1.38705,0.31049,0.57868,0.58351,0.34659,0.7779,13.9638,1.11853,0.0940599,5.99414e-05,5.99414e-05
8,5.48417,0.99474,1.39872,1.33716,0.59001,0.33333,0.55947,0.389,0.73903,inf,1.09823,0.0930699,6.99069e-05,6.99069e-05
9,6.21838,0.94439,1.00631,1.14021,0.55706,0.33333,0.55874,0.38495,0.80044,inf,1.11705,0.0920799,7.98611e-05,7.98611e-05
10,6.93696,0.83357,0.93161,1.19433,0.60773,0.33333,0.58435,0.43851,0.82873,inf,1.12518,0.0910898,8.98023e-05,8.98023e-05
11,7.7024,0.78108,0.86327,1.08168,0.36882,0.55556,0.57798,0.40602,0.91886,inf,1.18201,0.0900997,9.97288e-05,9.97288e-05
12,8.43745,0.74676,0.75121,1.02173,0.36763,0.51916,0.58472,0.40775,1.02398,inf,1.24797,0.0891096,0.000109639,0.000109639
13,9.17165,0.7793,0.65751,1.02498,0.47733,0.41774,0.549,0.3177,1.17892,inf,1.34281,0.0881195,0.000119532,0.000119532
14,9.89023,0.7424,0.58041,1.03545,0.65232,0.32327,0.54808,0.31214,1.21784,14.9986,1.35289,0.0871294,0.000129405,0.000129405
15,10.7505,0.69497,0.5577,1.02138,0.34311,0.52778,0.56757,0.33184,1.21697,12.3181,1.3417,0.0861393,0.000139257,0.000139257
16,11.4688,0.7131,0.54999,0.9899,0.2866,0.52666,0.5483,0.29336,1.37015,11.005,1.45976,0.0851491,0.000149086,0.000149086
17,12.2035,0.73733,0.5439,1.00614,0.30316,0.54677,0.49994,0.27007,1.47641,10.1199,1.51473,0.0841589,0.000158891,0.000158891
18,12.9063,0.74171,0.61176,1.0644,0.30316,0.54677,0.49994,0.27007,1.47641,10.1199,1.51473,0.0831687,0.00016867,0.00016867
19,13.6249,0.74497,0.54896,0.96022,0.71768,0.58221,0.55544,0.32879,1.402,7.10555,1.44059,0.0821784,0.000178422,0.000178422
20,14.3438,0.69302,0.53694,1.01834,0.71768,0.58221,0.55544,0.32879,1.402,7.10555,1.44059,0.0811881,0.000188145,0.000188145
21,15.3481,0.65074,0.51297,0.97536,0.79296,0.58333,0.58847,0.39993,1.20808,5.01129,1.32118,0.0801978,0.000197837,0.000197837
22,16.0666,0.66442,0.49062,0.97733,0.79296,0.58333,0.58847,0.39993,1.20808,5.01129,1.32118,0.0792075,0.000207497,0.000207497
23,16.7931,0.63735,0.50175,0.9547,0.82636,0.59548,0.59187,0.43192,1.11823,4.04421,1.27653,0.0782171,0.000217123,0.000217123
24,17.496,0.62727,0.44206,0.96056,0.82636,0.59548,0.59187,0.43192,1.11823,4.04421,1.27653,0.0772267,0.000226714,0.000226714
25,18.2927,0.68134,0.49214,1.00921,0.75096,0.69444,0.70812,0.47403,1.19573,3.35034,1.35137,0.0762363,0.000236268,0.000236268
26,19.0113,0.73717,0.46424,0.96184,0.75096,0.69444,0.70812,0.47403,1.19573,3.35034,1.35137,0.0752458,0.000245783,0.000245783
27,19.7455,0.68227,0.50792,1.03755,0.86691,0.64515,0.67412,0.47032,1.19012,2.39558,1.36157,0.0742553,0.000255259,0.000255259
28,20.4172,0.65541,0.49601,1.01003,0.86691,0.64515,0.67412,0.47032,1.19012,2.39558,1.36157,0.0732647,0.000264693,0.000264693
29,21.1202,0.64318,0.45295,0.9235,0.91017,0.66667,0.68799,0.48333,1.10181,1.55299,1.30322,0.0722741,0.000274084,0.000274084
30,21.8387,0.6355,0.48441,0.98377,0.91017,0.66667,0.68799,0.48333,1.10181,1.55299,1.30322,0.0712834,0.000283431,0.000283431
31,22.5729,0.60461,0.46917,0.99538,0.78713,0.81632,0.79185,0.45947,1.05266,1.22128,1.27395,0.0702927,0.000292732,0.000292732
32,23.2447,0.6603,0.45198,0.9383,0.78713,0.81632,0.79185,0.45947,1.05266,1.22128,1.27395,0.069302,0.000301985,0.000301985
33,23.9476,0.65516,0.46403,0.92844,0.75169,0.88889,0.7952,0.40952,1.13578,1.17836,1.31359,0.0683112,0.000311189,0.000311189
34,24.6194,0.66822,0.45055,0.94269,0.75169,0.88889,0.7952,0.40952,1.13578,1.17836,1.31359,0.0673203,0.000320343,0.000320343
35,25.3223,0.6572,0.43299,0.94033,0.6278,0.91667,0.71058,0.34538,1.16993,1.1607,1.32563,0.0663294,0.000329445,0.000329445
36,26.0096,0.63648,0.41719,0.92657,0.6278,0.91667,0.71058,0.34538,1.16993,1.1607,1.32563,0.0653385,0.000338493,0.000338493
37,26.8219,0.76086,0.50982,1.07704,0.67922,0.97222,0.76397,0.37432,1.05537,0.94585,1.23412,0.0643475,0.000347486,0.000347486
38,27.5093,0.65781,0.43124,0.90128,0.67922,0.97222,0.76397,0.37432,1.05537,0.94585,1.23412,0.0633564,0.000356423,0.000356423
39,28.1966,0.62944,0.41002,0.91521,0.70242,0.98653,0.77683,0.41094,0.95815,0.81307,1.16076,0.0623653,0.000365302,0.000365302
40,28.8683,0.64614,0.42371,0.92161,0.70242,0.98653,0.77683,0.41094,0.95815,0.81307,1.16076,0.0613741,0.000374123,0.000374123
41,29.5713,0.61707,0.41704,0.93401,0.75982,0.98908,0.80341,0.44917,0.98474,0.72419,1.18184,0.0603829,0.000382882,0.000382882
42,30.243,0.60689,0.40145,0.89727,0.75982,0.98908,0.80341,0.44917,0.98474,0.72419,1.18184,0.0593916,0.000391579,0.000391579
43,30.9516,0.60334,0.42564,0.90734,0.77108,0.95729,0.79257,0.44079,1.13058,0.71716,1.26182,0.0584002,0.000400214,0.000400214
44,31.6702,0.6023,0.37857,0.91821,0.77108,0.95729,0.79257,0.44079,1.13058,0.71716,1.26182,0.0574088,0.000408783,0.000408783
45,32.3575,0.60548,0.39691,0.93412,0.66611,1,0.74318,0.49891,1.00801,0.71301,1.18834,0.0564173,0.000417286,0.000417286
46,33.0761,0.5617,0.40159,0.89975,0.66611,1,0.74318,0.49891,1.00801,0.71301,1.18834,0.0554257,0.000425722,0.000425722
47,33.9041,0.59176,0.41636,0.91333,0.73185,0.98051,0.77632,0.55543,0.89137,0.69432,1.11784,0.0544341,0.000434089,0.000434089
48,34.6071,0.57429,0.40529,0.97435,0.73185,0.98051,0.77632,0.55543,0.89137,0.69432,1.11784,0.0534424,0.000442385,0.000442385
49,35.3569,0.55826,0.41711,0.94556,0.69237,0.99916,0.77061,0.59644,0.82654,0.63666,1.06862,0.0524506,0.00045061,0.00045061
50,36.0755,0.56791,0.38099,0.90909,0.69237,0.99916,0.77061,0.59644,0.82654,0.63666,1.06862,0.0514588,0.000458763,0.000458763
51,36.8722,0.53836,0.38618,0.95262,0.71686,0.99081,0.78052,0.60562,0.95272,0.66666,1.12878,0.0504668,0.000466841,0.000466841
52,37.5751,0.58412,0.39157,0.90651,0.71686,0.99081,0.78052,0.60562,0.95272,0.66666,1.12878,0.0494748,0.000474844,0.000474844
53,38.2781,0.58121,0.43221,0.90671,0.71686,0.99081,0.78052,0.60562,0.95272,0.66666,1.12878,0.0484828,0.000482771,0.000482771
54,39.0123,0.5488,0.39244,0.93482,0.77171,0.99786,0.84045,0.66066,1.01851,0.60653,1.15001,0.0474906,0.000490619,0.000490619
55,39.7152,0.57736,0.36997,0.90437,0.77171,0.99786,0.84045,0.66066,1.01851,0.60653,1.15001,0.0464984,0.000498389,0.000498389
56,40.4182,0.62177,0.42535,0.9827,0.77171,0.99786,0.84045,0.66066,1.01851,0.60653,1.15001,0.0455061,0.000506078,0.000506078
57,41.1524,0.56055,0.37212,0.91776,0.86542,0.98617,0.97555,0.79932,0.81963,0.54113,1.03759,0.0445137,0.000513686,0.000513686
58,41.9803,0.58762,0.38136,0.90759,0.86542,0.98617,0.97555,0.79932,0.81963,0.54113,1.03759,0.0435212,0.000521211,0.000521211
59,42.6833,0.64838,0.4046,0.91367,0.86542,0.98617,0.97555,0.79932,0.81963,0.54113,1.03759,0.0425287,0.000528652,0.000528652
60,43.4175,0.57523,0.36794,0.91788,0.96794,0.99068,0.99487,0.83059,0.76541,0.56017,1.01074,0.041536,0.000536008,0.000536008
61,44.1204,0.53186,0.39612,0.88433,0.96794,0.99068,0.99487,0.83059,0.76541,0.56017,1.01074,0.0405433,0.000543278,0.000543278
62,44.839,0.58123,0.39284,0.87568,0.96794,0.99068,0.99487,0.83059,0.76541,0.56017,1.01074,0.0395505,0.000550461,0.000550461
63,45.5889,0.61431,0.4496,0.87636,0.92755,0.96298,0.97577,0.84373,0.902,0.54346,1.08797,0.0385576,0.000557555,0.000557555
64,46.2918,0.59812,0.38757,0.95833,0.92755,0.96298,0.97577,0.84373,0.902,0.54346,1.08797,0.0375646,0.00056456,0.00056456
65,47.026,0.55313,0.37832,0.8989,0.92755,0.96298,0.97577,0.84373,0.902,0.54346,1.08797,0.0365715,0.000571474,0.000571474
66,47.7602,0.56977,0.38261,0.93762,0.92494,1,0.98043,0.84638,0.79751,0.50164,1.02725,0.0355783,0.000578297,0.000578297
67,48.4632,0.5466,0.3884,0.9427,0.92494,1,0.98043,0.84638,0.79751,0.50164,1.02725,0.034585,0.000585027,0.000585027
68,49.1661,0.55467,0.35463,0.86166,0.92494,1,0.98043,0.84638,0.79751,0.50164,1.02725,0.0335917,0.000591663,0.000591663
69,49.9785,0.54918,0.38091,0.90186,0.92326,0.99913,0.99295,0.85807,0.58043,0.44686,0.92686,0.0325982,0.000598205,0.000598205
